Name,Address
Adler University,"17 North Dearborn Street, Chicago, Illinois 60602"
American Academy of Art College,"332 S Michigan Ave, Chicago, Illinois 60604-4302"
American Islamic College,"640 W Irving Park RD, Chicago, Illinois 60613"
Aveda Institute-Chicago,"2828 N Clark St, Chicago, Illinois 60657"
Aviation Institute of Maintenance-Chicago,"3711 South Ashland Avenue, Chicago, Illinois 60609-2130"
"Bexley Hall Seabury Western Theological Seminary Federation, Inc.","1407 East 60th Street, Chicago, Illinois 60637"
Cannella School of Hair Design-Chicago,"4269 S Archer Ave, Chicago, Illinois 60632-2549"
Cannella School of Hair Design-Chicago,"9012 S Commercial, Chicago, Illinois 60617-4303"
Catholic Theological Union at Chicago,"5416 S Cornell Ave, Chicago, Illinois 60615-5698"
Chicago State University,"9501 S. King Drive, Chicago, Illinois 60628-1598"
Chicago Theological Seminary,"1407 E. 60th Street, Chicago, Illinois 60637"
City Colleges of Chicago-Harold Washington College,"30 E Lake St, Chicago, Illinois 60601-2449"
City Colleges of Chicago-Harry S Truman College,"1145 W Wilson Ave., Chicago, Illinois 60640-6063"
City Colleges of Chicago-Kennedy-King College,"6301 S Halsted St, Chicago, Illinois 60621-2709"
City Colleges of Chicago-Malcolm X College,"1900 W Jackson Blvd, Chicago, Illinois 60612-3197"
City Colleges of Chicago-Olive-Harvey College,"10001 S Woodlawn Ave, Chicago, Illinois 60628-1696"
City Colleges of Chicago-Richard J Daley College,"7500 S Pulaski Rd, Chicago, Illinois 60652-1299"
City Colleges of Chicago-Wilbur Wright College,"4300 N Narragansett, Chicago, Illinois 60634-1500"
Columbia College Chicago,"600 South Michigan Ave, Chicago, Illinois 60605-1996"
DePaul University,"1 E Jackson Blvd, Chicago, Illinois 60604"
East-West University,"816 S Michigan Ave, Chicago, Illinois 60605"
Erikson Institute,"451 N. LaSalle Street, Chicago, Illinois 60654-4510"
Generations College,"29 E. Madison, Chicago, Illinois 60602-4405"
HVAC Technical Institute,"4532 South Kolin Avenue, Chicago, Illinois 60632-4457"
Illinois College of Optometry,"3241 S Michigan Ave, Chicago, Illinois 60616-3878"
Illinois Institute of Technology,"10 West 35th Street, Chicago, Illinois 60616"
Illinois Media School,"8501 W. Higgins Rd. Suite 450, Chicago, Illinois 60631"
Illinois Media School-Chicago Campus,"105 W. Adams, Suite 1900, Chicago, Illinois 60602"
Institute for Clinical Social Work,"1345 W Argyle Street, Chicago, Illinois 60640-1229"
Larry's Barber College,"10456 S. Halsted Street, Chicago, Illinois 60628-2322"
Larry's Barber College,"701 E 79th St #709, Chicago, Illinois 60619-3101"
Loyola University Chicago,"1032 W. Sheridan Rd, Chicago, Illinois 60660"
Lutheran School of Theology at Chicago,"5416 S. Cornell Avenue, Fourth Floor, Chicago, Illinois 60615"
McCormick Theological Seminary,"5416 South Cornell Avenue, 5th Floor, Chicago, Illinois 60615"
MDT College of Health Sciences,"25 East Washington, #200, Chicago, Illinois 60602"
Meadville Theological School of Lombard College,"180 N. Wabash Avenue, Chicago, Illinois 60601"
Midwestern Career College,"203 N LaSalle, Chicago, Illinois 60601"
Moody Bible Institute,"820 N LaSalle Blvd, Chicago, Illinois 60610-3284"
National Latino Education Institute,"2011 W Pershing Rd, Chicago, Illinois 60609-2205"
National Louis University,"122 S Michigan Ave, Chicago, Illinois 60603"
Networks Barber College,"325 West 103rd Street, Chicago, Illinois 60628-2503"
North Park University,"3225 W Foster Ave, Chicago, Illinois 60625-4895"
Northeastern Illinois University,"5500 N Saint Louis Ave, Chicago, Illinois 60625-4699"
Pacific College of Health and Science,"65 East Wacker Place, 21st fl, Chicago, Illinois 60601"
Paul Mitchell the School-Chicago,"1225 S Halsted St, Chicago, Illinois 60607"
Relay Graduate School of Education - Chicago,"924 W 19th Place, Suite 200, Chicago, Illinois 60608"
Roosevelt University,"430 S Michigan Ave, Chicago, Illinois 60605-1394"
Rush University,"600 S. Paulina St. STE 440, Chicago, Illinois 60612"
SAE Institute of Technology-Chicago,"820 N. Orleans Street,  Suite 125, Chicago, Illinois 60610-3132"
Saint Xavier University,"3700 W 103rd St, Chicago, Illinois 60655"
School of the Art Institute of Chicago,"36 S Wabash, Chicago, Illinois 60603"
Soma Institute-The National School of Clinical Massage Therapy,"55 E. Jackson Boulevard - Ste 300, Chicago, Illinois 60604-4110"
Spertus College,"610 S Michigan Ave, Chicago, Illinois 60605"
St. Augustine College,"1345 W. Argyle St., Chicago, Illinois 60640-3501"
Stellar Career College,"205 W. Randolph Street, Suite 200, Chicago, Illinois 60606-0000"
Steven Papageorge Hair Academy,"3401 w Lawrence, Chicago, Illinois 60625"
Taylor Business Institute,"180 North Wabash Avenue, Fifth Floor, Chicago, Illinois 60601"
Telshe Yeshiva-Chicago,"3535 West Foster, Chicago, Illinois 60625"
The Chicago School at Chicago,"325 N Wells Street, Chicago, Illinois 60654"
Toyota Technological Institute at Chicago,"6045 S. Kenwood Avenue, Chicago, Illinois 60637"
Tricoci University of Beauty Culture-Chicago NE,"6458 North Sheridan Road, Chicago, Illinois 60626-5232"
Tricoci University of Beauty Culture-Chicago NW,"5321 N Harlem Ave, Chicago, Illinois 60656"
Triton College - Intl Union of Operating Engr Local 399 Trning Fac.,"2260 South Grove Street, Chicago, Illinois 60616-1823"
University of Aesthetics & Cosmetology,"1357 N Milwaukee Ave, Chicago, Illinois 60622-2151"
University of Chicago,"5801 S Ellis Ave, Chicago, Illinois 60637"
University of Illinois Chicago,"601 S Morgan, Chicago, Illinois 60607"
University of Notre Dame -,"224 South Michigan Avenue, Chicago, Illinois 60604-2535"
VanderCook College of Music,"3140 South Federal Street, Chicago, Illinois 60616-3731"
